"Activity" "Subject" "Feature" "Mean value"
"WALKING" 1 "tBodyAccMag std" -0.422544169322034
"WALKING" 1 "tBodyGyro mean X" -0.0530258157347458
"WALKING" 1 "tBodyGyro mean Y" -0.0482382316949153
"WALKING" 1 "tBodyGyro mean Z" 0.0828336633220339
"WALKING" 1 "tBodyGyro std X" -0.561550255762712
"WALKING" 1 "tBodyGyro std Y" -0.53845366779661
"WALKING" 1 "tBodyGyro std Z" -0.481085535084746
"WALKING" 1 "tBodyGyroJerk mean X" -0.0818833429152542
"WALKING" 1 "tBodyGyroJerk mean Y" -0.0538299449067797
"WALKING" 1 "tBodyGyroJerk mean Z" -0.0514939156830508
"WALKING" 1 "tBodyGyroJerk std X" -0.389549831525424
"WALKING" 1 "tBodyGyroJerk std Y" -0.634140436101695
"WALKING" 1 "tBodyGyroJerk std Z" -0.435492677288136
"WALKING" 1 "tBodyGyroJerkMag mean" -0.547911950338983
"WALKING" 1 "tBodyGyroJerkMag std" -0.557798151355932
"WALKING" 1 "tBodyGyroMag mean" -0.446549092881356
"WALKING" 1 "tBodyGyroMag std" -0.553019916271186
"WALKING" 1 "tGravityAcc mean X" 0.91301733338983
"WALKING" 1 "tGravityAcc mean Y" -0.34660709
"WALKING" 1 "tGravityAcc mean Z" 0.0847270871186441
"WALKING" 1 "tGravityAcc std X" -0.972693201355932
"WALKING" 1 "tGravityAcc std Y" -0.972116879661017
"WALKING" 1 "tGravityAcc std Z" -0.972072847627119
"WALKING" 1 "tGravityAccMag mean" -0.290407593728814
"WALKING" 1 "tGravityAccMag std" -0.422544169322034
"WALKING" 2 "angle tBodyAccJerkMean gravityMean" 0.0411484050869565
"WALKING" 2 "angle tBodyAccMean gravity" -0.00700273821739131
"WALKING" 2 "angle tBodyGyroJerkMean gravityMean" 0.0508926570863044
"WALKING" 2 "angle tBodyGyroMean gravityMean" -0.0882211719565217
"WALKING" 2 "angle X gravityMean" -0.748809057173913
"WALKING" 2 "angle Y gravityMean" 0.262107576956522
"WALKING" 2 "angle Z gravityMean" 0.0054581015
"WALKING" 2 "fBodyAcc mean X" -0.0994928588891304
"WALKING" 2 "fBodyAcc mean Y" 0.145367520371739
"WALKING" 2 "fBodyAcc mean Z" -0.25521651373913
"WALKING" 2 "fBodyAcc meanFreq X" -0.2183853882
"WALKING" 2 "fBodyAcc meanFreq Y" 0.309767108065217
"WALKING" 2 "fBodyAcc meanFreq Z" 0.306473449913043
"WALKING" 2 "fBodyAcc std X" 0.0243958191369565
"WALKING" 2 "fBodyAcc std Y" 0.00386841059347826
"WALKING" 2 "fBodyAcc std Z" -0.253643608304348
"WALKING" 2 "fBodyAccJerk mean X" -0.0367047077608696
"WALKING" 2 "fBodyAccJerk mean Y" 0.159995613695652
"WALKING" 2 "fBodyAccJerk mean Z" -0.281973435652174
"WALKING" 2 "fBodyAccJerk meanFreq X" -0.102095050734783
"WALKING" 2 "fBodyAccJerk meanFreq Y" -0.0787882256
"WALKING" 2 "fBodyAccJerk meanFreq Z" -0.00391608825652174
"WALKING" 2 "fBodyAccJerk std X" 0.0180047785304348
"WALKING" 2 "fBodyAccJerk std Y" 0.213423556139739
"WALKING" 2 "fBodyAccJerk std Z" -0.343195610652174
"WALKING" 2 "fBodyAccMag mean" -0.0241584964891304
"WALKING" 2 "fBodyAccMag meanFreq" 0.368620829130435
"WALKING" 2 "fBodyAccMag std" -0.381399308043478
"WALKING" 2 "fBodyBodyAccJerkMag mean" 0.0659727285
"WALKING" 2 "fBodyBodyAccJerkMag meanFreq" 0.0976461805652174
"WALKING" 2 "fBodyBodyAccJerkMag std" 0.158286745226087
"WALKING" 2 "fBodyBodyGyroJerkMag mean" -0.553946121521739
"WALKING" 2 "fBodyBodyGyroJerkMag meanFreq" 0.279574103891304
"WALKING" 2 "fBodyBodyGyroJerkMag std" -0.476405270434783
"WALKING" 2 "fBodyBodyGyroMag mean" -0.438378722826087
"WALKING" 2 "fBodyBodyGyroMag meanFreq" 0.210282322456522
"WALKING" 2 "fBodyBodyGyroMag std" -0.464019127391304
"WALKING" 2 "fBodyGyro mean X" -0.144648652152174
"WALKING" 2 "fBodyGyro mean Y" -0.501176901956522
"WALKING" 2 "fBodyGyro mean Z" -0.083501182326087
"WALKING" 2 "fBodyGyro meanFreq X" -0.0375243720869565
"WALKING" 2 "fBodyGyro meanFreq Y" -0.11413463273913
"WALKING" 2 "fBodyGyro meanFreq Z" 0.06771682861
"WALKING" 2 "fBodyGyro std X" -0.374496318695652
"WALKING" 2 "fBodyGyro std Y" -0.481624411086957
"WALKING" 2 "fBodyGyro std Z" -0.253173876956522
"WALKING" 2 "tBodyAcc mean X" 0.27886459
"WALKING" 2 "tBodyAcc mean Y" -0.0167213607957174
"WALKING" 2 "tBodyAcc mean Z" -0.107112510934783
"WALKING" 2 "tBodyAcc std X" -0.00865921919565217
"WALKING" 2 "tBodyAcc std Y" 0.100384246321739
"WALKING" 2 "tBodyAcc std Z" -0.213351968804348
"WALKING" 2 "tBodyAccJerk mean X" 0.0627777634002174
"WALKING" 2 "tBodyAccJerk mean Y" 0.0356746339782609
"WALKING" 2 "tBodyAccJerk mean Z" 0.00443691445434783
"WALKING" 2 "tBodyAccJerk std X" 0.0358787094391304
"WALKING" 2 "tBodyAccJerk std Y" 0.225542290191304
"WALKING" 2 "tBodyAccJerk std Z" -0.313155902608696
"WALKING" 2 "tBodyAccJerkMag mean" 0.02291996735
"WALKING" 2 "tBodyAccJerkMag std" 0.111532924945652
"WALKING" 2 "tBodyAccMag mean" 0.0722419121669565
"WALKING" 2 "tBodyAccMag std" -0.161591787478261
"WALKING" 2 "tBodyGyro mean X" 0.0007771571
"WALKING" 2 "tBodyGyro mean Y" -0.0960880731804348
"WALKING" 2 "tBodyGyro mean Z" 0.0775266594847826
"WALKING" 2 "tBodyGyro std X" -0.318537865869565
"WALKING" 2 "tBodyGyro std Y" -0.486322106521739
"WALKING" 2 "tBodyGyro std Z" -0.151439515130435
"WALKING" 2 "tBodyGyroJerk mean X" -0.132977562363043
"WALKING" 2 "tBodyGyroJerk mean Y" -0.0321910702173913
"WALKING" 2 "tBodyGyroJerk mean Z" -0.0569812455608696
"WALKING" 2 "tBodyGyroJerk std X" -0.226656401521739
"WALKING" 2 "tBodyGyroJerk std Y" -0.651875468913043
"WALKING" 2 "tBodyGyroJerk std Z" -0.234278150891304
"WALKING" 2 "tBodyGyroJerkMag mean" -0.461999528913043
"WALKING" 2 "tBodyGyroJerkMag std" -0.503106312391304
"WALKING" 2 "tBodyGyroMag mean" -0.210608043717391
"WALKING" 2 "tBodyGyroMag std" -0.390775683913043
"WALKING" 2 "tGravityAcc mean X" 0.936096410434783
"WALKING" 2 "tGravityAcc mean Y" -0.259644937173913
"WALKING" 2 "tGravityAcc mean Z" 0.0233780056086957
"WALKING" 2 "tGravityAcc std X" -0.969643448043478
"WALKING" 2 "tGravityAcc std Y" -0.963639340217391
"WALKING" 2 "tGravityAcc std Z" -0.955147847391304
"WALKING" 2 "tGravityAccMag mean" 0.0722419121669565
"WALKING" 2 "tGravityAccMag std" -0.161591787478261
"WALKING" 3 "angle tBodyAccJerkMean gravityMean" 0.00092110448333333
"WALKING" 3 "angle tBodyAccMean gravity" -0.0120097781333333
"WALKING" 3 "angle tBodyGyroJerkMean gravityMean" 0.0554159672016667
"WALKING" 3 "angle tBodyGyroMean gravityMean" 0.0177813678333333
"WALKING" 3 "angle X gravityMean" -0.865284280666667
"WALKING" 3 "angle Y gravityMean" 0.1425101785
"WALKING" 3 "angle Z gravityMean" -0.0675179863833333
"WALKING" 3 "fBodyAcc mean X" -0.426719449666667
"WALKING" 3 "fBodyAcc mean Y" -0.14939963344
"WALKING" 3 "fBodyAcc mean Z" -0.631005470833333
"WALKING" 3 "fBodyAcc meanFreq X" -0.13859163673
"WALKING" 3 "fBodyAcc meanFreq Y" 0.0123477342916667
"WALKING" 3 "fBodyAcc meanFreq Z" -0.0787892636928333
"WALKING" 3 "fBodyAcc std X" -0.447234929666667
"WALKING" 3 "fBodyAcc std Y" -0.101799450565167
"WALKING" 3 "fBodyAcc std Z" -0.594198325666667
"WALKING" 3 "fBodyAccJerk mean X" -0.358883413666667
"WALKING" 3 "fBodyAccJerk mean Y" -0.279553391533333
"WALKING" 3 "fBodyAccJerk mean Z" -0.728991595666667
"WALKING" 3 "fBodyAccJerk meanFreq X" -0.1352803947515
"WALKING" 3 "fBodyAccJerk meanFreq Y" -0.385880862833333
"WALKING" 3 "fBodyAccJerk meanFreq Z" -0.325737503675
"WALKING" 3 "fBodyAccJerk std X" -0.29732607245
"WALKING" 3 "fBodyAccJerk std Y" -0.2099000063
"WALKING" 3 "fBodyAccJerk std Z" -0.772359087333333
"WALKING" 3 "fBodyAccMag mean" -0.450804558333333
"WALKING" 3 "fBodyAccMag meanFreq" 0.382096409966667
"WALKING" 3 "fBodyAccMag std" -0.651172628166667
"WALKING" 3 "fBodyBodyAccJerkMag mean" -0.318587811
"WALKING" 3 "fBodyBodyAccJerkMag meanFreq" 0.111486484954333
"WALKING" 3 "fBodyBodyAccJerkMag std" -0.320458701
"WALKING" 3 "fBodyBodyGyroJerkMag mean" -0.724327420666667
"WALKING" 3 "fBodyBodyGyroJerkMag meanFreq" 0.26535537398
"WALKING" 3 "fBodyBodyGyroJerkMag std" -0.757768081166667
"WALKING" 3 "fBodyBodyGyroMag mean" -0.609285588016667
"WALKING" 3 "fBodyBodyGyroMag meanFreq" 0.0697301245295
"WALKING" 3 "fBodyBodyGyroMag std" -0.593937200833333
"WALKING" 3 "fBodyGyro mean X" -0.373384540666667
"WALKING" 3 "fBodyGyro mean Y" -0.688460056666667
"WALKING" 3 "fBodyGyro mean Z" -0.601381129166667
"WALKING" 3 "fBodyGyro meanFreq X" -0.12715408578
"WALKING" 3 "fBodyGyro meanFreq Y" -0.27466563765
"WALKING" 3 "fBodyGyro meanFreq Z" 0.149851534733333
"WALKING" 3 "fBodyGyro std X" -0.542646759
"WALKING" 3 "fBodyGyro std Y" -0.654657770166667
"WALKING" 3 "fBodyGyro std Z" -0.716458475166667
"WALKING" 3 "tBodyAcc mean X" 0.278582015166667
"WALKING" 3 "tBodyAcc mean Y" -0.0148399475341667
"WALKING" 3 "tBodyAcc mean Z" -0.11140306485
"WALKING" 3 "tBodyAcc std X" -0.440829971333333
"WALKING" 3 "tBodyAcc std Y" -0.0788267367683333
"WALKING" 3 "tBodyAcc std Z" -0.586252806833333
"WALKING" 3 "tBodyAccJerk mean X" 0.0783529082183333
"WALKING" 3 "tBodyAccJerk mean Y" 0.00295602428666667
"WALKING" 3 "tBodyAccJerk mean Z" -0.000767679338333334
"WALKING" 3 "tBodyAccJerk std X" -0.297042612533333
"WALKING" 3 "tBodyAccJerk std Y" -0.221165131581667
"WALKING" 3 "tBodyAccJerk std Z" -0.7513913825
"WALKING" 3 "tBodyAccJerkMag mean" -0.366700879833333
"WALKING" 3 "tBodyAccJerkMag std" -0.316918956
"WALKING" 3 "tBodyAccMag mean" -0.312050574166667
"WALKING" 3 "tBodyAccMag std" -0.527679103166667
"WALKING" 3 "tBodyGyro mean X" -0.0317982557795
"WALKING" 3 "tBodyGyro mean Y" -0.0726905278583333
"WALKING" 3 "tBodyGyro mean Z" 0.0805677161216667
"WALKING" 3 "tBodyGyro std X" -0.500916659
"WALKING" 3 "tBodyGyro std Y" -0.665394092833333
"WALKING" 3 "tBodyGyro std Z" -0.662608226
"WALKING" 3 "tBodyGyroJerk mean X" -0.115321556475
"WALKING" 3 "tBodyGyroJerk mean Y" -0.0393474489133333
"WALKING" 3 "tBodyGyroJerk mean Z" -0.0551166852766667
"WALKING" 3 "tBodyGyroJerk std X" -0.492341066833333
"WALKING" 3 "tBodyGyroJerk std Y" -0.807419937
"WALKING" 3 "tBodyGyroJerk std Z" -0.640454132833333
"WALKING" 3 "tBodyGyroJerkMag mean" -0.6813040365
"WALKING" 3 "tBodyGyroJerkMag std" -0.7301463685
"WALKING" 3 "tBodyGyroMag mean" -0.49779220106
"WALKING" 3 "tBodyGyroMag std" -0.553116111166667
"WALKING" 3 "tGravityAcc mean X" 0.963999696833333
"WALKING" 3 "tGravityAcc mean Y" -0.0858540265666667
"WALKING" 3 "tGravityAcc mean Z" 0.127764112666667
"WALKING" 3 "tGravityAcc std X" -0.983826494833333
"WALKING" 3 "tGravityAcc std Y" -0.967963221
"WALKING" 3 "tGravityAcc std Z" -0.962968112
"WALKING" 3 "tGravityAccMag mean" -0.312050574166667
"WALKING" 3 "tGravityAccMag std" -0.527679103166667
"WALKING" 4 "angle tBodyAccJerkMean gravityMean" -0.0766106376715254
"WALKING" 4 "angle tBodyAccMean gravity" 0.0304546177791525
"WALKING" 4 "angle tBodyGyroJerkMean gravityMean" -0.0703351409440678
"WALKING" 4 "angle tBodyGyroMean gravityMean" 0.0274852541694915
"WALKING" 4 "angle X gravityMean" -0.784798045254237
"WALKING" 4 "angle Y gravityMean" 0.194885322372881
"WALKING" 4 "angle Z gravityMean" 0.134716005084746
"WALKING" 4 "fBodyAcc mean X" -0.275404187920339
"WALKING" 4 "fBodyAcc mean Y" -0.0724367317966102
"WALKING" 4 "fBodyAcc mean Z" 0.0814081078542373
"WALKING" 4 "fBodyAcc meanFreq X" -0.271218699661017
"WALKING" 4 "fBodyAcc meanFreq Y" 0.107804588864407
"WALKING" 4 "fBodyAcc meanFreq Z" 0.121798905935593
"WALKING" 4 "fBodyAcc std X" -0.329807279830508
"WALKING" 4 "fBodyAcc std Y" -0.202524061966102
"WALKING" 4 "fBodyAcc std Z" 0.1161434407
"WALKING" 4 "fBodyAccJerk mean X" -0.290410454881356
"WALKING" 4 "fBodyAccJerk mean Y" -0.155488720747458
"WALKING" 4 "fBodyAccJerk mean Z" -0.0572021324745763
"WALKING" 4 "fBodyAccJerk meanFreq X" -0.269875748525424
"WALKING" 4 "fBodyAccJerk meanFreq Y" -0.278843950576271
"WALKING" 4 "fBodyAccJerk meanFreq Z" -0.366737656932203
"WALKING" 4 "fBodyAccJerk std X" -0.235172990305085
"WALKING" 4 "fBodyAccJerk std Y" -0.0609753095355932
"WALKING" 4 "fBodyAccJerk std Z" -0.00623647528983051
"WALKING" 4 "fBodyAccMag mean" -0.0942606311677966
"WALKING" 4 "fBodyAccMag meanFreq" 0.281811709254237
"WALKING" 4 "fBodyAccMag std" -0.407577515762712
"WALKING" 4 "fBodyBodyAccJerkMag mean" -0.0180705701559322
"WALKING" 4 "fBodyBodyAccJerkMag meanFreq" 0.15173584590678
"WALKING" 4 "fBodyBodyAccJerkMag std" -0.0457372334118644
"WALKING" 4 "fBodyBodyGyroJerkMag mean" 0.146618569064407
"WALKING" 4 "fBodyBodyGyroJerkMag meanFreq" 0.176693448469492
"WALKING" 4 "fBodyBodyGyroJerkMag std" 0.287834616098305
"WALKING" 4 "fBodyBodyGyroMag mean" 0.185078207383051
"WALKING" 4 "fBodyBodyGyroMag meanFreq" 0.409521611525424
"WALKING" 4 "fBodyBodyGyroMag std" -0.061476584759322
"WALKING" 4 "fBodyGyro mean X" -0.337619203050847
"WALKING" 4 "fBodyGyro mean Y" 0.195569461920339
"WALKING" 4 "fBodyGyro mean Z" -0.194970369294915
"WALKING" 4 "fBodyGyro meanFreq X" -0.00734779774576271
"WALKING" 4 "fBodyGyro meanFreq Y" 0.166489215586441
"WALKING" 4 "fBodyGyro meanFreq Z" -0.0544726683728814
"WALKING" 4 "fBodyGyro std X" -0.545051691694915
"WALKING" 4 "fBodyGyro std Y" 0.286581518449153
"WALKING" 4 "fBodyGyro std Z" -0.287820868152542
"WALKING" 4 "tBodyAcc mean X" 0.273211884237288
"WALKING" 4 "tBodyAcc mean Y" -0.0183618711932203
"WALKING" 4 "tBodyAcc mean Z" -0.113382994084746
"WALKING" 4 "tBodyAcc std X" -0.313521773389831
"WALKING" 4 "tBodyAcc std Y" -0.119020586510678
"WALKING" 4 "tBodyAcc std Z" 0.164220685383051
"WALKING" 4 "tBodyAccJerk mean X" 0.0987319085964407
"WALKING" 4 "tBodyAccJerk mean Y" 0.0148955926864407
"WALKING" 4 "tBodyAccJerk mean Z" -0.00190810641525424
"WALKING" 4 "tBodyAccJerk std X" -0.229328122305085
"WALKING" 4 "tBodyAccJerk std Y" -0.0805017337711864
"WALKING" 4 "tBodyAccJerk std Z" -0.0293115056033898
"WALKING" 4 "tBodyAccJerkMag mean" -0.0670819655881356
"WALKING" 4 "tBodyAccJerkMag std" -0.0268194363050847
"WALKING" 4 "tBodyAccMag mean" -0.0988770198220339
"WALKING" 4 "tBodyAccMag std" -0.209989354570847
"WALKING" 4 "tBodyGyro mean X" -0.0631156870355932
"WALKING" 4 "tBodyGyro mean Y" -0.0640197920966102
"WALKING" 4 "tBodyGyro mean Z" 0.10770045065339
"WALKING" 4 "tBodyGyro std X" -0.494322648644068
"WALKING" 4 "tBodyGyro std Y" 0.25945722920339
"WALKING" 4 "tBodyGyro std Z" -0.209634887972881
"WALKING" 4 "tBodyGyroJerk mean X" -0.0578128239067797
"WALKING" 4 "tBodyGyroJerk mean Y" -0.0516704755661017
"WALKING" 4 "tBodyGyroJerk mean Z" -0.0903002524369492
"WALKING" 4 "tBodyGyroJerk std X" -0.363969434576271
"WALKING" 4 "tBodyGyroJerk std Y" 0.295945926186441
"WALKING" 4 "tBodyGyroJerk std Z" -0.374456768135593
"WALKING" 4 "tBodyGyroJerkMag mean" 0.0115305410508475
"WALKING" 4 "tBodyGyroJerkMag std" 0.250173204117966
"WALKING" 4 "tBodyGyroMag mean" -0.0120968259523729
"WALKING" 4 "tBodyGyroMag std" 0.163346451623729
"WALKING" 4 "tGravityAcc mean X" 0.939809688644068
"WALKING" 4 "tGravityAcc mean Y" -0.16176137
"WALKING" 4 "tGravityAcc mean Z" -0.160763360338983
"WALKING" 4 "tGravityAcc std X" -0.977230903898305
"WALKING" 4 "tGravityAcc std Y" -0.966550706949153
"WALKING" 4 "tGravityAcc std Z" -0.932981341864407
"WALKING" 4 "tGravityAccMag mean" -0.0988770198220339
"WALKING" 4 "tGravityAccMag std" -0.209989354570847
"WALKING" 5 "angle tBodyAccJerkMean gravityMean" 0.0409795311508772
"WALKING" 5 "angle tBodyAccMean gravity" -0.0109866973157895
"WALKING" 5 "angle tBodyGyroJerkMean gravityMean" -0.0381104565964912
"WALKING" 5 "angle tBodyGyroMean gravityMean" 0.061988719
"WALKING" 5 "angle X gravityMean" -0.841242011929825
"WALKING" 5 "angle Y gravityMean" 0.116165327736842
"WALKING" 5 "angle Z gravityMean" 0.0942042319933684
"WALKING" 5 "fBodyAcc mean X" -0.279421359929825
"WALKING" 5 "fBodyAcc mean Y" -0.21723731877193
"WALKING" 5 "fBodyAcc mean Z" -0.264009174368421
"WALKING" 5 "fBodyAcc meanFreq X" -0.299550655719298
"WALKING" 5 "fBodyAcc meanFreq Y" 0.0387229527070175
"WALKING" 5 "fBodyAcc meanFreq Z" 0.0515818110438597
"WALKING" 5 "fBodyAcc std X" -0.220227660631579
"WALKING" 5 "fBodyAcc std Y" -0.206025873666667
"WALKING" 5 "fBodyAcc std Z" -0.0686862770908772
"WALKING" 5 "fBodyAccJerk mean X" -0.293739296735088
"WALKING" 5 "fBodyAccJerk mean Y" -0.315217351368421
"WALKING" 5 "fBodyAccJerk mean Z" -0.40399934877193
"WALKING" 5 "fBodyAccJerk meanFreq X" -0.355313945014035
"WALKING" 5 "fBodyAccJerk meanFreq Y" -0.362984322912281
"WALKING" 5 "fBodyAccJerk meanFreq Z" -0.321593406614035
"WALKING" 5 "fBodyAccJerk std X" -0.166919652506316
"WALKING" 5 "fBodyAccJerk std Y" -0.189543766333333
"WALKING" 5 "fBodyAccJerk std Z" -0.428608978245614
"WALKING" 5 "fBodyAccMag mean" -0.297042333859649
"WALKING" 5 "fBodyAccMag meanFreq" 0.166992521166667
"WALKING" 5 "fBodyAccMag std" -0.501343572982456
"WALKING" 5 "fBodyBodyAccJerkMag mean" -0.286296154438597
"WALKING" 5 "fBodyBodyAccJerkMag meanFreq" 0.137964691594737
"WALKING" 5 "fBodyBodyAccJerkMag std" -0.279379505789474
"WALKING" 5 "fBodyBodyGyroJerkMag mean" -0.590487035438596
"WALKING" 5 "fBodyBodyGyroJerkMag meanFreq" 0.227544616387719
"WALKING" 5 "fBodyBodyGyroJerkMag std" -0.609746065964912
"WALKING" 5 "fBodyBodyGyroMag mean" -0.500859628245614
"WALKING" 5 "fBodyBodyGyroMag meanFreq" 0.132950164005263
"WALKING" 5 "fBodyBodyGyroMag std" -0.557182346140351
"WALKING" 5 "fBodyGyro mean X" -0.370780909824561
"WALKING" 5 "fBodyGyro mean Y" -0.431074641578947
"WALKING" 5 "fBodyGyro mean Z" -0.220320677738596
"WALKING" 5 "fBodyGyro meanFreq X" -0.202167644982456
"WALKING" 5 "fBodyGyro meanFreq Y" 0.0177049175835088
"WALKING" 5 "fBodyGyro meanFreq Z" -0.146420267294737
"WALKING" 5 "fBodyGyro std X" -0.498211156491228
"WALKING" 5 "fBodyGyro std Y" -0.473251973684211
"WALKING" 5 "fBodyGyro std Z" -0.33247686
"WALKING" 5 "tBodyAcc mean X" 0.276768151403509
"WALKING" 5 "tBodyAcc mean Y" -0.0173129081084035
"WALKING" 5 "tBodyAcc mean Z" -0.110417961385965
"WALKING" 5 "tBodyAcc std X" -0.235540710877193
"WALKING" 5 "tBodyAcc std Y" -0.174622512157895
"WALKING" 5 "tBodyAcc std Z" -0.0870027066484211
"WALKING" 5 "tBodyAccJerk mean X" 0.0750645248508772
"WALKING" 5 "tBodyAccJerk mean Y" 0.0180790262822807
"WALKING" 5 "tBodyAccJerk mean Z" 0.00281664419122807
"WALKING" 5 "tBodyAccJerk std X" -0.194217917350877
"WALKING" 5 "tBodyAccJerk std Y" -0.229398183684211
"WALKING" 5 "tBodyAccJerk std Z" -0.416817597368421
"WALKING" 5 "tBodyAccJerkMag mean" -0.193805061807018
"WALKING" 5 "tBodyAccJerkMag std" -0.280846722684211
"WALKING" 5 "tBodyAccMag mean" -0.099958103332386
"WALKING" 5 "tBodyAccMag std" -0.361510501052632
"WALKING" 5 "tBodyGyro mean X" -0.0697698527017544
"WALKING" 5 "tBodyGyro mean Y" -0.0671516558631579
"WALKING" 5 "tBodyGyro mean Z" 0.112395668712281
"WALKING" 5 "tBodyGyro std X" -0.466155210175439
"WALKING" 5 "tBodyGyro std Y" -0.453743944035088
"WALKING" 5 "tBodyGyro std Z" -0.252268195157895
"WALKING" 5 "tBodyGyroJerk mean X" -0.0831244367929825
"WALKING" 5 "tBodyGyroJerk mean Y" -0.0439867617122807
"WALKING" 5 "tBodyGyroJerk mean Z" -0.0573514985277193
"WALKING" 5 "tBodyGyroJerk std X" -0.50947996631579
"WALKING" 5 "tBodyGyroJerk std Y" -0.543014051403509
"WALKING" 5 "tBodyGyroJerk std Z" -0.434781018070175
"WALKING" 5 "tBodyGyroJerkMag mean" -0.500077037017544
"WALKING" 5 "tBodyGyroJerkMag std" -0.58627343754386
"WALKING" 5 "tBodyGyroMag mean" -0.281985343245614
"WALKING" 5 "tBodyGyroMag std" -0.480065039824561
"WALKING" 5 "tGravityAcc mean X" 0.952409236842105
"WALKING" 5 "tGravityAcc mean Y" -0.0473706037087719
"WALKING" 5 "tGravityAcc mean Z" -0.102173816827719
"WALKING" 5 "tGravityAcc std X" -0.978506277192982
"WALKING" 5 "tGravityAcc std Y" -0.970362891403509
"WALKING" 5 "tGravityAcc std Z" -0.956500430526316
"WALKING" 5 "tGravityAccMag mean" -0.099958103332386
"WALKING" 5 "tGravityAccMag std" -0.361510501052632
"WALKING" 6 "angle tBodyAccJerkMean gravityMean" -0.0385900041066667
"WALKING" 6 "angle tBodyAccMean gravity" -0.00230895901333334
